15;-1000;2.00
15;-1000;40.00
40;4680;40.00
15;-1000;5.56
10;9250;2.00
15;-1000;3.32
40;3215;40.00
15;-1000;2.92
10;5830;2.00
15;-1000;2.46
10;4608;2.00
15;-1000;3.24
40;9183;40.00
15;-1000;2.91
10;8380;2.00
15;-1000;4.61
10;9901;2.00
15;-1000;2.26
10;2208;2.00
15;-1000;3.10
40;8370;40.00
15;-1000;3.13
40;3225;40.00
15;-1000;5.52
40;9921;40.00
15;-1000;3.78
10;2160;2.00
15;-1000;5.02
10;9400;2.00
15;-1000;4.41
10;7260;2.00
15;-1000;5.13
10;5825;2.00
15;-1000;2.46
10;8300;2.00
15;-1000;5.91
10;4660;2.00
15;-1000;5.39
40;3064;40.00
15;-1000;2.20
40;4599;40.00
15;-1000;3.86
10;4640;2.00
15;-1000;3.30
40;7350;40.00
15;-1000;4.52
10;8210;2.00
15;-1000;2.92
10;9500;2.00
15;-1000;4.32
10;9040;2.00
15;-1000;4.41
10;7405;2.00
15;-1000;4.40
40;5450;40.00
15;-1000;3.79
10;9412;2.00
15;-1000;2.14
10;2075;2.00
15;-1000;4.06
10;3131;2.00
15;-1000;3.63
30;-1000;33.29
